,Category,Series,ModelName,Colour&Chassis,Description,Warrenty,MRP
0,Premium,TUF Gaming,FX505DT-AL118T,GUN METAL,R5-3550H +GTX 1650-4GB +8GB +512GB PCIE SSD +15.6'+120Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1A-GUN METAL,1Y,77990
1,Premium,TUF Gaming,FX705DT-AU092T,BLACK PLASTIC,R5-3550H +GTX 1650-4GB +8GB +512GB PCIE SSD +17.3'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1B-BLACK PLASTIC,1Y,80990
2,Premium,TUF Gaming,FX705DT-AU016T,GUN METAL,R7-3750H +GTX 1650-4GB +8GB +512GB PCIE SSD +17.3'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1A-GUN METAL,1Y,94990
3,Platinum,ROG-Strix G,G531GT-BQ002T,BLACK W+LIGHTBAR,i5-9300H +GTX 1650-4GB +8GB +512GB PCIE SSD +15.6'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,97990
4,Platinum,ROG-Strix G,G531GT-AL264T,1F-G Glacier Blue W+ Lightbar,i5-9300H +GTX1650-4GB +8GB +512GB PCIE SSD +15.6'+120Hz+RGB backlit Keyboard (1-Zone) +WIN 10 +Color: 1F-G Glacier Blue W+ Lightbar,1Y,98990
5,Premium,TUF Gaming,FX505DY-BQ024T,BLACK PLASTIC,R5-3550H +RX560X-4GB +8GB +512GB PCIE SSD +15.6'+60Hz+Illuminated Chiclet Keyboard +WIN 10 +Color: 1B-BLACK PLASTIC,1Y,67990
6,Premium,TUF Gaming,FX505GM-BQ344T,1C Black,I5-8300H +GTX1060-6GB +8GB +512GB PCIE SSD +15.6'+60Hz+Illuminated Chiclet Keyboard- Red +WIN 10 +Color: 1C Black,1Y,79990
7,Premium,TUF Gaming,FX505GT-AL003T,2A-METAL TANK GREY,i5-9300H +GTX1650-4GB +8GB +512GB PCIE SSD +15.6'+120Hz+RGB backlit Keyboard (1-Zone) +WIN 10 +Color: 2A-METAL TANK GREY,1Y,90990
8,Premium,TUF Gaming,FX505GT-AL007T,METAL TANK GREY,i7-9750H +GTX 1650-4GB +16GB +512GB PCIE SSD +15.6'+120Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 2A-METAL TANK GREY,1Y,109990
9,Premium,TUF Gaming,FX505GT-BQ006T,METAL TANK GREY,i5-9300H +GTX 1650-4GB +8GB +512GB PCIE SSD +15.6'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 2A-METAL TANK GREY,1Y,89990
10,Premium,TUF Gaming,FX705DD-AU055T,BLACK PLASTIC,R5-3550H +GTX 1050-3GB +8GB +1TB HDD +17.3'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1B-BLACK PLASTIC,1Y,72990
11,NO,ROG-Strix G,G531GT-AL017T,BLACK W+LIGHTBAR,i7-9750H +GTX 1650-4GB +8GB +512GB PCIE SSD +15.6'+120Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,110990
12,NO,ROG-Strix G,G531GT-AL018T,BLACK W+LIGHTBAR,i7-9750H +GTX 1650-4GB +16GB +512GB PCIE SSD +15.6'+120Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,116990
